"year_id","prior_year","lg_id","prior_lg","Delta","count","mp","Avg_Age","Era_Adjust"
1977,1976,"NBA","ABA",-0.536385558773751,45,81431.253003225,26.3111111111111,-1.5978205377739
1976,1975,"ABA","ABA",-0.595915999728913,42,79741.7066520627,26.0714285714286,-2.19373653750281
1975,1974,"ABA","ABA",0.122741210053538,47,96265.574876726,26.1702127659574,-2.07099532744927
1974,1973,"ABA","ABA",-0.293268193443908,51,104152.472407529,26.2549019607843,-2.36426352089318
1973,1972,"ABA","ABA",0.152088967814803,45,94484.902013113,26.6,-2.21217455307838
1972,1971,"ABA","ABA",-0.54146209376273,52,106851.524444064,26.3269230769231,-2.75363664684111
1971,1970,"ABA","ABA",-0.423044152959553,55,121505.128713882,25.9636363636364,-3.17668079980066
1970,1969,"ABA","ABA",0.0256965900976593,52,105157.405325986,26.25,-3.150984209703
1969,1968,"ABA","ABA",-0.42436549747426,52,104178.290535452,25.7884615384615,-3.57534970717726
