year_id,lg_id,PO_short_route,PO_long_route,season_length
1950,NBA,13,16,68
1951,NBA,15,15,66
1952,NBA,15,15,66
1953,NBA,15,15,70
1954,NBA,14,14,72
1955,NBA,12,15,72
1956,NBA,12,15,72
1957,NBA,12,15,72
1958,NBA,14,17,72
1959,NBA,14,17,72
1960,NBA,14,17,75
1961,NBA,14,19,79
1962,NBA,14,19,80
1963,NBA,14,19,80
1964,NBA,14,19,80
1965,NBA,14,19,80
1966,NBA,14,19,80
1967,NBA,19,19,81
1968,NBA,21,21,82
1969,NBA,21,21,82
1970,NBA,21,21,82
1971,NBA,21,21,82
1972,NBA,21,21,82
1973,NBA,21,21,82
1974,NBA,21,21,82
1975,NBA,21,24,82
1976,NBA,21,24,82
1977,NBA,21,24,82
1978,NBA,21,24,82
1979,NBA,21,24,82
1980,NBA,21,24,82
1981,NBA,21,24,82
1982,NBA,21,24,82
1983,NBA,21,24,82
1984,NBA,26,26,82
1985,NBA,26,26,82
1986,NBA,26,26,82
1987,NBA,26,26,82
1988,NBA,26,26,82
1989,NBA,26,26,82
1990,NBA,26,26,82
1991,NBA,26,26,82
1992,NBA,26,26,82
1993,NBA,26,26,82
1994,NBA,26,26,82
1995,NBA,26,26,82
1996,NBA,26,26,82
1997,NBA,26,26,82
1998,NBA,26,26,82
1999,NBA,26,26,50
2000,NBA,26,26,82
2001,NBA,26,26,82
2002,NBA,26,26,82
2003,NBA,28,28,82
2004,NBA,28,28,82
2005,NBA,28,28,82
2006,NBA,28,28,82
2007,NBA,28,28,82
2008,NBA,28,28,82
2009,NBA,28,28,82
2010,NBA,28,28,82
2011,NBA,28,28,66
2012,NBA,28,28,82
2013,NBA,28,28,82
2014,NBA,28,28,82
2015,NBA,28,28,82
2016,NBA,28,28,82
1968,ABA,19,19,78
1969,ABA,21,21,78
1970,ABA,21,21,84
1971,ABA,21,21,84
1972,ABA,21,21,84
1973,ABA,21,21,84
1974,ABA,21,21,84
1975,ABA,21,21,84
1976,ABA,14,17,84
